,competênciamov,município,seção,saldomovimentação,sexo,graudeinstrução
225,2023-01-01,Pb-Bernardino Batista,Construção,-1,Homem,5
226,2023-01-01,Pb-Boa Vista,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,1
227,2023-01-01,Pb-Boa Vista,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,6
228,2023-01-01,Pb-Boa Vista,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,1
229,2023-01-01,Pb-Boa Vista,Indústrias de Transformação,-1,Homem,4
230,2023-01-01,Pb-Boa Vista,Indústrias de Transformação,1,Homem,14
231,2023-01-01,Pb-Bom Jesus,Alojamento e Alimentação,1,Homem,1
232,2023-01-01,Pb-Bom Jesus,Alojamento e Alimentação,1,Mulher,2
233,2023-01-01,Pb-Bom Jesus,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
234,2023-01-01,Pb-Bom Jesus,Construção,-1,Homem,4
235,2023-01-01,Pb-Bom Jesus,Indústrias de Transformação,-1,Homem,1
236,2023-01-01,Pb-Bom Jesus,Indústrias de Transformação,1,Homem,2
237,2023-01-01,Pb-Bom Jesus,Indústrias de Transformação,1,Mulher,1
238,2023-01-01,Pb-Bom Sucesso,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,1
239,2023-01-01,Pb-Bom Sucesso,Construção,-1,Homem,3
240,2023-01-01,Pb-Bonito de Santa Fe,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
241,2023-01-01,Pb-Boqueirao,"Atividades Profissionais, Científicas e Técnicas",-1,Homem,23
242,2023-01-01,Pb-Boqueirao,"Atividades Profissionais, Científicas e Técnicas",-1,Mulher,3
243,2023-01-01,Pb-Boqueirao,"Atividades Profissionais, Científicas e Técnicas",1,Homem,20
244,2023-01-01,Pb-Boqueirao,"Atividades Profissionais, Científicas e Técnicas",1,Mulher,3
245,2023-01-01,Pb-Boqueirao,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,4
246,2023-01-01,Pb-Boqueirao,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,2
247,2023-01-01,Pb-Boqueirao,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
248,2023-01-01,Pb-Boqueirao,Construção,-1,Homem,2
249,2023-01-01,Pb-Boqueirao,Construção,1,Homem,1
250,2023-01-01,Pb-Boqueirao,Indústrias de Transformação,-1,Homem,1
251,2023-01-01,Pb-Boqueirao,Saúde Humana e Serviços Sociais,1,Mulher,1
252,2023-01-01,Pb-Borborema,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
